composite_primary_key,product_name,code,channel,customers__customer_category,month_num,month_year,units
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-April 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,1
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-May 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,1
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-June 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,1
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-July 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,2
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-August 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,1
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-September 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,1
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-October 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,1
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-November 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,1
Product Variant 0210-SKU-13E10651-Direct-to-Consumer-December 2026,Product Variant 0210,SKU-13E10651,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,1
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-March 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202603,Mar-26,3
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-April 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202604,Apr-26,4
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-May 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202605,May-26,3
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-June 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202606,Jun-26,4
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-July 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202607,Jul-26,3
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-August 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202608,Aug-26,4
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-September 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202609,Sep-26,5
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-October 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202610,Oct-26,4
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-November 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202611,Nov-26,4
Product Variant 0161-SKU-14626E65-Direct-to-Consumer-December 2026,Product Variant 0161,SKU-14626E65,Direct-to-Consumer,Unknown,202612,Dec-26,3
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-March 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202603,Mar-26,5
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-April 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202604,Apr-26,4
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-May 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202605,May-26,5
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-June 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202606,Jun-26,5
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-July 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202607,Jul-26,4
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-August 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202608,Aug-26,4
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-September 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202609,Sep-26,3
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-October 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202610,Oct-26,3
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-November 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202611,Nov-26,1
Product Variant 0166-SKU-15FA1ED8-Direct-to-Consumer-December 2026,Product Variant 0166,SKU-15FA1ED8,Direct-to-Consumer,Unknown,202612,Dec-26,3
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-March 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,3
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-April 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,2
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-May 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,2
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-June 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,3
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-July 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,2
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-August 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,1
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-September 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,2
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-October 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,2
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-November 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,3
Product Variant 0073-SKU-170AB515-Direct-to-Consumer-December 2026,Product Variant 0073,SKU-170AB515,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,4
Product Variant 0073-SKU-170AB515-Wholesale-January 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202601,Jan-26,1
Product Variant 0073-SKU-170AB515-Wholesale-February 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202602,Feb-26,1
Product Variant 0073-SKU-170AB515-Wholesale-March 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202603,Mar-26,3
Product Variant 0073-SKU-170AB515-Wholesale-April 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202604,Apr-26,2
Product Variant 0073-SKU-170AB515-Wholesale-May 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202605,May-26,2
Product Variant 0073-SKU-170AB515-Wholesale-June 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202606,Jun-26,2
Product Variant 0073-SKU-170AB515-Wholesale-July 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202607,Jul-26,2
Product Variant 0073-SKU-170AB515-Wholesale-August 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202608,Aug-26,1
Product Variant 0073-SKU-170AB515-Wholesale-September 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202609,Sep-26,1
Product Variant 0073-SKU-170AB515-Wholesale-October 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202610,Oct-26,1
Product Variant 0073-SKU-170AB515-Wholesale-November 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202611,Nov-26,3
Product Variant 0073-SKU-170AB515-Wholesale-December 2026,Product Variant 0073,SKU-170AB515,Wholesale,Professional - Esthetician,202612,Dec-26,3
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-March 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202603,Mar-26,4
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-April 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202604,Apr-26,39
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-May 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202605,May-26,1909
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-June 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202606,Jun-26,21
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-July 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202607,Jul-26,1
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-August 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202608,Aug-26,2
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-September 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202609,Sep-26,324
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-October 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202610,Oct-26,47
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-November 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202611,Nov-26,945
Product Variant 0183-SKU-1716B30A-Direct-to-Consumer-December 2026,Product Variant 0183,SKU-1716B30A,Direct-to-Consumer,Unknown,202612,Dec-26,581
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-March 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,30
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-April 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,24
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-May 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,24
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-June 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,24
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-July 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,31
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-August 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,33
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-September 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,45
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-October 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,23
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-November 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,66
Product Variant 0041-SKU-176738C5-Direct-to-Consumer-December 2026,Product Variant 0041,SKU-176738C5,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,28
Product Variant 0041-SKU-176738C5-Wholesale-March 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202603,Mar-26,32
Product Variant 0041-SKU-176738C5-Wholesale-March 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202603,Mar-26,5
Product Variant 0041-SKU-176738C5-Wholesale-April 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202604,Apr-26,25
Product Variant 0041-SKU-176738C5-Wholesale-April 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202604,Apr-26,4
Product Variant 0041-SKU-176738C5-Wholesale-May 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202605,May-26,23
Product Variant 0041-SKU-176738C5-Wholesale-May 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202605,May-26,4
Product Variant 0041-SKU-176738C5-Wholesale-June 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202606,Jun-26,23
Product Variant 0041-SKU-176738C5-Wholesale-June 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202606,Jun-26,3
Product Variant 0041-SKU-176738C5-Wholesale-July 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202607,Jul-26,30
Product Variant 0041-SKU-176738C5-Wholesale-July 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202607,Jul-26,4
Product Variant 0041-SKU-176738C5-Wholesale-August 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202608,Aug-26,30
Product Variant 0041-SKU-176738C5-Wholesale-August 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202608,Aug-26,5
Product Variant 0041-SKU-176738C5-Wholesale-September 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202609,Sep-26,40
Product Variant 0041-SKU-176738C5-Wholesale-September 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202609,Sep-26,6
Product Variant 0041-SKU-176738C5-Wholesale-October 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202610,Oct-26,20
Product Variant 0041-SKU-176738C5-Wholesale-October 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202610,Oct-26,3
Product Variant 0041-SKU-176738C5-Wholesale-November 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202611,Nov-26,55
Product Variant 0041-SKU-176738C5-Wholesale-November 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202611,Nov-26,8
Product Variant 0041-SKU-176738C5-Wholesale-December 2026,Product Variant 0041,SKU-176738C5,Wholesale,Professional - Esthetician,202612,Dec-26,23
Product Variant 0041-SKU-176738C5-Wholesale-December 2026,Product Variant 0041,SKU-176738C5,Wholesale,Retailer - Non-Credo,202612,Dec-26,3
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-January 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202601,Jan-26,47
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-February 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202602,Feb-26,28
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-March 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,44
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-April 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,39
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-May 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,75
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-June 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,39
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-July 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,59
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-August 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,58
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-September 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,73
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-October 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,43
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-November 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,80
Product Variant 0023-SKU-17E8A790-Direct-to-Consumer-December 2026,Product Variant 0023,SKU-17E8A790,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,47
Product Variant 0023-SKU-17E8A790-Wholesale-January 2026,Product Variant 0023,SKU-17E8A790,Wholesale,No Customer Type,202601,Jan-26,2
Product Variant 0023-SKU-17E8A790-Wholesale-January 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202601,Jan-26,29
Product Variant 0023-SKU-17E8A790-Wholesale-January 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202601,Jan-26,48
Product Variant 0023-SKU-17E8A790-Wholesale-January 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202601,Jan-26,11
Product Variant 0023-SKU-17E8A790-Wholesale-February 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202602,Feb-26,23
Product Variant 0023-SKU-17E8A790-Wholesale-February 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202602,Feb-26,3
Product Variant 0023-SKU-17E8A790-Wholesale-March 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202603,Mar-26,37
Product Variant 0023-SKU-17E8A790-Wholesale-March 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202603,Mar-26,21
Product Variant 0023-SKU-17E8A790-Wholesale-March 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202603,Mar-26,8
Product Variant 0023-SKU-17E8A790-Wholesale-April 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202604,Apr-26,32
Product Variant 0023-SKU-17E8A790-Wholesale-April 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202604,Apr-26,18
Product Variant 0023-SKU-17E8A790-Wholesale-April 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202604,Apr-26,7
Product Variant 0023-SKU-17E8A790-Wholesale-May 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202605,May-26,61
Product Variant 0023-SKU-17E8A790-Wholesale-May 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202605,May-26,34
Product Variant 0023-SKU-17E8A790-Wholesale-May 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202605,May-26,13
Product Variant 0023-SKU-17E8A790-Wholesale-June 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202606,Jun-26,32
Product Variant 0023-SKU-17E8A790-Wholesale-June 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202606,Jun-26,18
Product Variant 0023-SKU-17E8A790-Wholesale-June 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202606,Jun-26,7
Product Variant 0023-SKU-17E8A790-Wholesale-July 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202607,Jul-26,46
Product Variant 0023-SKU-17E8A790-Wholesale-July 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202607,Jul-26,26
Product Variant 0023-SKU-17E8A790-Wholesale-July 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202607,Jul-26,10
Product Variant 0023-SKU-17E8A790-Wholesale-August 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202608,Aug-26,45
Product Variant 0023-SKU-17E8A790-Wholesale-August 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202608,Aug-26,25
Product Variant 0023-SKU-17E8A790-Wholesale-August 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202608,Aug-26,9
Product Variant 0023-SKU-17E8A790-Wholesale-September 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202609,Sep-26,55
Product Variant 0023-SKU-17E8A790-Wholesale-September 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202609,Sep-26,31
Product Variant 0023-SKU-17E8A790-Wholesale-September 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202609,Sep-26,11
Product Variant 0023-SKU-17E8A790-Wholesale-October 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202610,Oct-26,32
Product Variant 0023-SKU-17E8A790-Wholesale-October 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202610,Oct-26,18
Product Variant 0023-SKU-17E8A790-Wholesale-October 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202610,Oct-26,7
Product Variant 0023-SKU-17E8A790-Wholesale-November 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202611,Nov-26,58
Product Variant 0023-SKU-17E8A790-Wholesale-November 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202611,Nov-26,33
Product Variant 0023-SKU-17E8A790-Wholesale-November 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202611,Nov-26,12
Product Variant 0023-SKU-17E8A790-Wholesale-December 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Professional - Esthetician,202612,Dec-26,33
Product Variant 0023-SKU-17E8A790-Wholesale-December 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Credo,202612,Dec-26,19
Product Variant 0023-SKU-17E8A790-Wholesale-December 2026,Product Variant 0023,SKU-17E8A790,Wholesale,Retailer - Non-Credo,202612,Dec-26,7
Product Variant 0239-SKU-18095882-Direct-to-Consumer-March 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,17
Product Variant 0239-SKU-18095882-Direct-to-Consumer-April 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,12
Product Variant 0239-SKU-18095882-Direct-to-Consumer-May 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,7
Product Variant 0239-SKU-18095882-Direct-to-Consumer-June 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,6
Product Variant 0239-SKU-18095882-Direct-to-Consumer-July 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,6
Product Variant 0239-SKU-18095882-Direct-to-Consumer-August 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,9
Product Variant 0239-SKU-18095882-Direct-to-Consumer-September 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,14
Product Variant 0239-SKU-18095882-Direct-to-Consumer-October 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,8
Product Variant 0239-SKU-18095882-Direct-to-Consumer-November 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,100
Product Variant 0239-SKU-18095882-Direct-to-Consumer-December 2026,Product Variant 0239,SKU-18095882,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,20
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-March 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202603,Mar-26,21
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-April 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202604,Apr-26,15
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-May 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202605,May-26,16
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-June 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202606,Jun-26,18
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-July 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202607,Jul-26,15
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-August 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202608,Aug-26,18
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-September 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202609,Sep-26,16
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-October 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202610,Oct-26,14
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-November 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202611,Nov-26,6
Product Variant 0144-SKU-189669BB-Direct-to-Consumer-December 2026,Product Variant 0144,SKU-189669BB,Direct-to-Consumer,Unknown,202612,Dec-26,16
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-March 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202603,Mar-26,47
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-April 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202604,Apr-26,38
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-May 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202605,May-26,49
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-June 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202606,Jun-26,45
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-July 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202607,Jul-26,34
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-August 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202608,Aug-26,42
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-September 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202609,Sep-26,30
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-October 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202610,Oct-26,32
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-November 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202611,Nov-26,10
Product Variant 0165-SKU-19DCF054-Direct-to-Consumer-December 2026,Product Variant 0165,SKU-19DCF054,Direct-to-Consumer,Unknown,202612,Dec-26,32
Product Variant 0068-SKU-1A00B89C-Direct-to-Consumer-January 2026,Product Variant 0068,SKU-1A00B89C,Direct-to-Consumer,Direct-to-Consumer,202601,Jan-26,2
Product Variant 0068-SKU-1A00B89C-Direct-to-Consumer-March 2026,Product Variant 0068,SKU-1A00B89C,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,2
Product Variant 0068-SKU-1A00B89C-Direct-to-Consumer-April 2026,Product Variant 0068,SKU-1A00B89C,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,2
Product Variant 0068-SKU-1A00B89C-Direct-to-Consumer-May 2026,Product Variant 0068,SKU-1A00B89C,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,2
Product Variant 0068-SKU-1A00B89C-Direct-to-Consumer-June 2026,Product Variant 0068,SKU-1A00B89C,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,3
